Word,Frequency
jugraj,159
june,4628
junior,2141
juventus,184
jwala,54
júnior,8
kagiso,141
kaise,13
kalinga,155
kalyan,54
kamboj,61
kamran,208
kane,540
kang,16
kansa,628
kanwar,21
kapil,388
kapila,284
kapur,44
karen,53
karkera,90
karn,117
karthik,723
kartik,75
kartikeya,30
kashmir,62
kashyap,529
kasimov,7
katethong,15
kazakhstan,166
kc,13
ke,447
keen,308
keenly,54
keeper,201
keeping,782
kept,1749
kevin,801
key,2451
khachanov,97
khaleel,386
khan,2765
khanna,31
kharab,31
kharb,196
khejroliya,16
kholmurodov,2
khona,11
kick,837
kicked,269
kickoff,104
kickstart,44
kid,652
kidambi,244
kieron,65
killer,99
kim,407
kind,1653
king,2566
kingsley,5
kiran,434
kishan,312
kishanrohit,1
kishore,111
kit,135
kiwi,154
kjær,6
kkr,3160
kl,774
klaasen,497
knew,879
knight,2151
knock,1157
knockout,717
know,5616
knowledge,266
known,2755
ko,418
kock,243
koepka,7
kohli,6749
kolkata,2714
kom,678
konjengbam,161
kookaburra,89
korea,696
korean,480
kotian,84
kovacic,2
kremlev,67
krishan,90
krishna,489
krishnan,20
kristin,24
kroos,42
krunal,64
kryger,6
kuldeep,1199
kulwant,14
kumar,2023
kushagra,64
kuuba,23
ky,41
kyle,145
la,1321
laced,32
lack,865
lacked,182
lackluster,205
lacklustre,56
lad,146
ladder,711
lajong,22
lake,256
lakh,453
lakhpat,15
lakshya,1323
lalit,154
lalthuammawia,8
landed,333
lapse,126
lara,292
large,320
largely,325
larger,87
lasted,676
lasting,346
latched,13
late,1856
later,3230
latest,1069
laugh,230
laughter,135
launch,187
launched,398
laurel,31
law,178
layer,174
layoff,20
le,1235
lead,6107
leader,1160
leaderboard,128
leadership,1784
leading,3151
leaf,404
league,9055
learn,658
learned,375
learning,585
learnt,480
leave,1313
leaving,1757
led,3676
lee,1031
left,4089
leg,1522
legacy,1123
legal,547
legend,2779
legendary,1423
leipzig,101
length,417
lesson,297
let,2152
level,3540
leveling,77
leveraging,66
leverkusen,157
lewandowski,131
liam,203
liang,116
lick,30
lie,374
life,3135
lifted,265
lifting,156
liga,211
light,909
lightened,5
lightning,44
like,11607
liked,100
likely,1364
lim,85
limited,508
limiting,97
limitless,26
lin,367
line,1811
lineup,913
lionel,445
list,1645
listen,173
listening,70
literally,201
little,2395
litton,207
liu,323
liv,1065
live,1579
lived,268
liverpool,533
living,297
livingstone,194
load,75
lobera,100
local,1047
lock,87
lockie,185
logic,30
lok,76
lomror,60
london,1097
lone,239
long,3571
longer,706
look,4092
looked,1264
looking,2480
looming,87
loose,135
lorenzo,122
los,553
lose,1119
losing,2981
loss,4790
lost,5566
lot,5908
loudest,9
love,2459
loved,460
lovlina,546
low,862
lower,500
lowest,360
